sex,elevation,age_banded,bill_depth,bill_culmen,mass,tarsus1,wing_r
F,mid,ASY,3.1,9.7,11.5,18.5,61
F,mid,SY,-99.99,-99.99,10.6,-99.99,60
F,mid,SY,2.9,9.8,9.95,19.1,59.5
F,mid,SY,2.8,10.04,10.9,18.81,59.71
M,mid,SY,3,8.9,9,-99.99,62
M,mid,SY,3,9.6,10.1,-99.99,66
M,mid,SY,2.9,11.29,10.5,18.94,64.76
M,mid,SY,3,9.8,9.6,-99.99,62
M,mid,SY,2.95,10.47,9.9,17.63,62.73
M,mid,SY,2.94,10.3,9.9,17.99,63.47
M,mid,SY,-99.99,-99.99,10.12,17.96,61.76
M,mid,SY,2.7,8.8,9,-99.99,63.5
M,mid,SY,2.9,9.6,9.4,-99.99,65
M,mid,SY,3,10.1,10.1,-99.99,63
M,mid,SY,2.8,9.1,9.4,-99.99,63.5
M,mid,SY,2.8,9.9,9.2,-99.99,64.5
M,mid,SY,2.8,9.4,8.8,-99.99,61.5
M,mid,SY,2.8,9.5,9,-99.99,63.5
M,mid,SY,2.7,9.4,9,-99.99,64
M,mid,SY,2.88,9.51,9,18.24,64.69
M,mid,SY,2.9,9.5,9.8,-99.99,64
M,mid,SY,2.88,9.67,10,18.2,64.7
F,mid,AHY,2.9,9.8,10.4,-99.99,60.5
F,mid,AHY,2.78,10.05,10.7,18.12,59.92
F,mid,AHY,2.77,10,11.6,18.63,59.98
M,mid,SY,3,9.6,8.9,-99.99,61.5
M,mid,SY,3,9.9,9.5,18.3,62
M,mid,SY,2.9,8.8,9.6,18.4,64
M,mid,SY,3,9.35,9.7,18.26,65.6
M,mid,SY,-99.99,-99.99,10.25,18.61,66.27
M,mid,SY,2.9,9.9,9.5,18,62.5
M,mid,SY,3,10,9.8,18.8,62.5
M,mid,SY,3.11,10.02,9.5,18.57,61.74
F,mid,ASY,3,9.4,10.6,17.5,61.5
F,mid,ASY,2.8,9.5,10.5,19.8,60.5
F,mid,SY,2.9,9.5,10.9,17.2,62
F,mid,SY,3.1,10.3,10.5,18.5,60
F,mid,SY,2.9,10.1,9.9,19.2,60
F,mid,SY,2.8,9.7,10.3,19.1,61
F,mid,SY,2.9,9.6,10,18.3,60
F,mid,SY,2.9,9.6,10,18.3,60
F,mid,SY,2.9,9.9,10.4,19.3,60
F,mid,SY,2.7,10.1,10.2,17.9,59
F,mid,SY,2.74,9.93,10.1,17.67,59.42
F,mid,SY,-99.99,-99.99,10.39,18.01,59.6
F,mid,SY,2.9,9.4,10.7,18.6,60
F,mid,SY,2.94,9.25,10.4,18.65,59.69
F,mid,SY,2.8,9.5,10.6,18.5,60
F,mid,AHY,2.8,9.6,10.6,19.2,61
M,mid,SY,2.9,10,9.6,18.9,61
F,mid,SY,2.8,9.8,11.1,18.5,62
F,mid,AHY,2.7,9.7,9.8,18.1,57.5
F,mid,SY,2.9,10.3,9.8,18.4,59.5
F,mid,SY,2.78,11,10.1,18.26,58.79
F,mid,SY,2.9,9.6,10.6,18.4,60
F,mid,SY,2.9,10.1,9.4,18.5,59.5
F,high,ASY,-99.99,-99.99,-99.99,-99.99,60
M,high,SY,2.9,9.6,9,-99.99,62.5
M,high,SY,3,10.4,10,-99.99,62.5
M,high,SY,3,9.7,9.2,-99.99,64
M,high,SY,2.8,9.8,9.1,-99.99,62
F,high,AHY,3,10,-99.99,18.7,61
F,high,SY,3,10.1,10.7,17.7,59
M,high,SY,3.1,10.1,9.6,18.5,64.5
M,high,SY,2.9,10.1,10.1,18.8,62
F,high,SY,2.9,10.5,9.6,18.2,61
F,high,SY,3,10.1,10,17.5,60.5
F,high,SY,2.64,9.24,10.5,17.2,62
M,low,SY,2.8,9.3,9.1,-99.99,62.5
M,low,SY,2.98,9.39,9.6,18.53,65.66
M,low,SY,2.8,9.7,9.25,18.9,62
M,low,SY,3,9,9.5,18.2,58
M,low,SY,3.1,10,10,19.4,64
M,low,SY,2.9,9.8,10,19.4,64.4
M,low,SY,2.8,10.1,9,18.1,64
M,low,SY,3,10.1,9.5,18.5,63
M,low,SY,2.9,9.9,10.25,18.6,64.5
M,low,SY,2.6,9.9,9.25,18,62
F,low,SY,2.7,8.6,10,18,59
F,low,SY,3.2,9.2,10.1,18.3,59
F,low,SY,2.7,9.7,11.5,18.5,61
F,low,SY,2.9,8.7,11,19.3,60
F,low,SY,2.7,10.2,10.7,18.9,59.5
F,low,SY,2.8,8.7,10,18.4,60
M,low,SY,3,9,10,18.5,63
F,low,SY,2.8,9,10,18.5,62
F,high,SY,3.1,10,12.5,19.1,61
F,high,SY,3,10,10.1,18.5,58
F,high,SY,2.9,10,10.5,18.7,58.5
F,mid,SY,3,10,9,18.7,58.5
F,high,AHY,2.8,10,9.2,18.9,59.5
F,high,ASY,2.9,9.8,9.9,17.8,60
F,high,SY,2.7,9.7,11.2,18.9,60.5
F,high,SY,-99.99,-99.99,11.06,18.67,62.5
F,high,ASY,2.9,9.5,8.6,16.8,61
M,mid,SY,2.81,9.49,9.8,18.02,64.5
M,mid,SY,-99.99,-99.99,10.15,18.35,65.14
M,mid,SY,2.8,9.64,9.1,18.71,63
M,mid,SY,2.91,10.3,9.5,17.9,62
M,mid,ASY,2.72,10.28,9.8,18.96,65
M,mid,SY,2.96,10.3,9.4,18.47,64.5
M,mid,SY,2.98,10.02,9.6,19.4,63.8
M,mid,ASY,2.97,10.46,9.8,17.94,64.57
M,mid,SY,3,9.44,9.4,18.2,62.2
M,mid,ASY,2.93,9.3,9.3,18.99,65.07
M,mid,SY,2.86,9.56,8.6,18.25,64.34
M,mid,SY,-99.99,-99.99,9.36,18.57,64.02
M,mid,SY,2.81,9.96,9.6,17.91,64.1
M,mid,SY,2.89,10.47,9.3,18.4,64.14
M,mid,SY,2.65,9.57,8.5,17.73,61.84
M,mid,ASY,3,10,8.9,18.4,64.5
M,low,SY,3.1,9.2,10,18.8,64
M,low,SY,2.9,9.5,10.3,18.7,62
F,low,ASY,2.7,9.2,9.6,18.7,60
M,low,SY,3,9.4,9.3,18.7,63
F,low,SY,2.8,9.4,9.3,18,60
F,low,SY,2.9,8.9,9.1,18.6,59
M,low,SY,3,9.1,9.3,18.8,62.5
M,low,SY,3,8.9,9.1,17.9,61
F,low,SY,3,9.4,10.9,18.6,62
F,low,SY,2.9,8.9,10.3,18.4,61
M,low,SY,2.9,9.1,9.1,18.4,64
M,low,SY,2.9,9.3,9.4,18.7,61
F,low,SY,3.1,9.2,9.7,19.2,58.5
M,low,ASY,3,9.3,9.3,19.1,64
F,low,ASY,2.5,9,10.7,18.7,59.5
M,low,ASY,2.8,9.1,9.8,18.7,63
F,low,SY,3,9.2,11.2,19.1,60.5
M,mid,SY,2.83,10.59,9.5,18.63,62.68
M,mid,ASY,3.01,10.05,9.4,18.1,62.85
M,mid,SY,2.88,9.7,9.1,18.34,61.35
M,mid,SY,3.09,9.88,9.4,17,64.62
M,mid,SY,3.03,10.18,10,17.46,65.5
M,mid,SY,2.82,10.56,10,18.78,64.35
M,mid,SY,3.01,10.04,8.8,18.04,60.03
M,mid,SY,-99.99,-99.99,9.43,18.12,61.96
M,mid,SY,2.73,10.17,9.3,17.84,61.3
M,mid,SY,2.76,9.89,9.3,18,64.64
M,mid,SY,2.91,10.03,9.4,18.57,63.02
M,mid,SY,2.94,10.17,9.4,18.34,60.41
F,mid,ASY,2.84,9.96,10.9,17.87,61.17
M,mid,SY,2.85,10.73,10.1,19.07,63.37
F,mid,SY,2.86,10.04,10.2,17.7,62.48
F,mid,ASY,2.93,9.65,10.4,17.66,60.51
F,mid,ASY,2.81,10.04,10.2,18.03,59.96
F,mid,SY,2.95,10.29,10.1,18.46,60.37
F,mid,AHY,2.82,10.35,10,18.48,59.05
F,mid,SY,2.69,10.04,9.8,18.2,59.65
F,mid,SY,3,9.67,10.9,18.12,59.71
F,mid,SY,3,10.2,9.6,18.3,60
M,mid,SY,3.2,10.4,9.5,18.9,64
M,mid,SY,3.09,10.22,10.1,19.05,63.74
F,mid,AHY,2.9,9.7,9.8,19.3,61.5
F,mid,SY,2.9,9.2,9.7,18.3,57.5
F,mid,SY,3.1,9.8,8.6,17.4,60
F,mid,SY,2.94,10.2,9.6,17.56,61.98
F,mid,SY,3.11,9.83,10.2,17.71,62.55
F,mid,ASY,3,10.1,9.9,18.7,59
F,mid,ASY,2.93,10.28,11.2,18.82,59.8
M,mid,ASY,2.9,10.9,9.5,18.3,66
M,mid,SY,2.8,9.3,9.4,17,64
F,mid,SY,2.9,10.3,10.5,19.3,60.5
F,mid,SY,2.76,10.08,10,18.05,58.68
F,mid,AHY,2.96,9.92,10.8,18.4,61.13
F,mid,ASY,2.94,9.57,10.9,17.92,61.61
F,mid,ASY,2.88,10.05,11,19.33,60.78
F,mid,ASY,-99.99,-99.99,10.87,19.72,60.27
F,mid,SY,2.93,10.21,10.6,17.95,59.85
F,mid,SY,2.9,9.82,10.3,18.18,57.72
F,mid,SY,2.94,10.08,10.4,18,60.04
F,mid,SY,2.9,9.65,10.5,18.42,61.49
F,mid,SY,3,10.47,10.8,18.31,55.79
F,mid,SY,3.11,10.28,10.4,17.82,58.83
F,mid,SY,2.99,10.69,10.1,18.44,59.98
M,high,ASY,3.01,9.76,9.6,19.39,63.5
M,high,SY,2.77,9.71,8.7,18.71,63.5
M,high,SY,-99.99,-99.99,9.26,17.49,65.5
M,high,SY,3.09,10.61,-99.99,18.2,64.5
M,high,SY,-99.99,-99.99,9.9,18.71,66
M,high,SY,-99.99,-99.99,9.42,18.46,66
M,high,SY,-99.99,-99.99,9.36,19.03,66
M,high,SY,2.87,9.89,9.47,18.9,66
M,high,SY,2.98,9.52,9.9,17.36,64.5
F,high,ASY,2.68,9.13,11.3,18.08,64
M,high,SY,2.82,9.13,9.8,18.46,62
F,high,ASY,3.24,8.92,10.4,17.5,62.5
F,high,SY,3.06,10.18,10.6,17.56,60
F,high,ASY,2.93,9.02,11.2,17.11,63
M,high,ASY,2.84,9.31,9.7,17.56,66
F,high,SY,2.72,9.98,10.7,17.67,60
F,high,SY,-99.99,-99.99,10.82,18.2,61.5
F,high,ASY,2.74,9.23,10.1,17.83,60.5
M,high,SY,3.09,9.96,10.7,18.38,64.5
M,high,SY,-99.99,-99.99,10.14,18.38,65
M,high,SY,-99.99,-99.99,9.9,-99.99,66.5
F,high,SY,2.36,10.23,10.7,18.28,62
M,high,SY,2.82,10.11,10.8,18.5,64
M,high,SY,2.78,10.2,10.2,17.9,64.25
F,high,SY,2.73,9.7,9.5,18.24,59
F,high,ASY,3.05,9.55,10.4,18.5,64.5
F,high,ASY,2.92,9.7,10.5,17.67,57
F,mid,SY,2.93,10.29,10.5,18.93,59
F,mid,SY,3,9.7,11.63,-99.99,60.6
F,mid,SY,2.8,9.88,10.8,18.59,59.23
M,low,SY,2.98,10.11,9.2,18.23,61.14
M,low,SY,-99.99,-99.99,9.46,19.4,64
M,mid,SY,2.97,10.15,9.9,17.37,62.05
M,mid,ASY,2.79,9.84,9.7,18.35,61.27
F,mid,SY,2.71,9.63,9.5,17.23,60.15
F,mid,SY,2.94,9.86,10,17.16,58.63
F,mid,ASY,2.78,9.66,11.1,17.75,58.39
F,mid,SY,2.6,9.11,9.8,18.05,57.11
M,low,SY,-99.99,-99.99,9.1,-99.99,-99.99
M,low,ASY,-99.99,-99.99,10.2,-99.99,-99.99
M,low,SY,-99.99,-99.99,9.3,-99.99,-99.99
M,low,ASY,2.9,10,9.1,18.9,64.75
M,low,SY,2.7,10.1,9.4,19.3,63.1
M,low,SY,2.9,9.9,9.6,18.6,63
F,low,SY,2.7,9.5,10.5,18.1,58.5
M,low,SY,2.7,8.9,9.7,19.1,63
M,low,ASY,2.6,9.6,10,18.5,64.4
M,low,SY,2.6,9.1,9.5,19.3,63.9
F,low,SY,2.5,9.4,9.8,18.3,58.3
F,low,SY,2.7,9.3,10.8,17.6,61.2
F,low,SY,2.8,9.7,11.1,18.6,55.4
F,low,ASY,2.7,9.8,11,18.7,59.5
F,mid,ASY,2.7,9.2,10.4,17.1,57.3
F,mid,ASY,2.9,9.1,9.9,19,53.9
F,mid,ASY,2.9,9.9,11.2,17.9,59.2
F,low,ASY,2.4,9.4,9.1,18.6,59.9
F,low,ASY,2.6,10,9.5,18.2,60.2
M,low,SY,2.7,9.7,9.6,19.6,63.4
M,low,SY,2.7,8.7,8.7,19.2,61.2
F,low,ASY,3,9.5,9.4,18.6,60.5
F,low,ASY,2.8,9.3,9.4,18.7,59.4
M,low,SY,2.6,9.4,9.3,18.6,61.1
F,low,ASY,2.5,9.5,9.8,17.9,57.4
F,low,ASY,2.6,9.8,10.5,18.8,59.2
F,low,ASY,2.7,9.6,9.4,18.5,60
F,low,SY,2.8,9.6,10.4,19.6,60.7
F,low,ASY,3,9.2,11.1,19.3,60.2
F,high,SY,2.83,10.11,10.2,18.86,61
F,high,ASY,2.82,9.75,12,17.7,64.5
F,high,SY,2.93,10.14,10.8,18.11,62.5
F,high,SY,3.01,10.03,9,18.85,60
F,high,SY,2.73,10.3,9.9,18.5,59
M,high,SY,2.67,10.52,9.3,18.87,64
F,high,SY,-99.99,-99.99,-99.99,17.66,59
M,low,SY,2.99,10.28,9.9,19.17,63.2
M,low,SY,3.05,10.04,10.2,18.94,62.54
M,low,SY,2.91,9.32,9.6,18.81,63.42
M,low,SY,2.89,10.05,9.8,18.67,66.22
M,low,SY,3.01,10.09,9.7,17.74,65.94
M,low,SY,2.96,9.32,9.8,18.47,63.68
F,high,SY,2.76,9.48,11.2,18.27,59.83
F,high,SY,2.76,9.48,11.2,18.27,59.83
F,low,SY,3.01,10.06,11.8,19.33,61.06
F,low,SY,2.94,9.12,11,17.78,61.03
M,low,SY,2.97,10.25,9.2,17.71,61.41
M,low,SY,-99.99,-99.99,9.26,18.1,62
M,low,SY,-99.99,-99.99,9.36,-99.99,63
F,low,AHY,2.88,9.84,10.8,18.28,60.23
F,low,SY,2.94,9.97,10.7,18.43,59.53
F,low,SY,-99.99,-99.99,11.12,19,60
M,high,SY,2.51,8.95,-99.99,18.06,64
M,high,SY,2.65,7.68,10.6,18.06,65
M,high,ASY,2.84,11.04,-99.99,18.25,65
M,high,ASY,-99.99,-99.99,10.01,18.96,66
M,high,ASY,-99.99,-99.99,9.9,18.93,65
M,high,ASY,2.83,10.98,9.65,18.9,65
F,high,ASY,2.78,9.17,11.2,18.01,59
F,high,ASY,2.77,10.13,11,18.09,61.5
M,high,SY,2.71,10.17,10.5,18.44,65
F,high,ASY,2.74,9.54,10.5,16.81,60
F,high,ASY,-99.99,-99.99,10.37,-99.99,61
M,high,SY,2.68,8.69,9.9,18.19,64.5
M,high,SY,-99.99,-99.99,9.86,18.42,64
M,high,SY,-99.99,-99.99,9.67,18.49,66
M,high,SY,2.7,9.22,9.45,18.24,66
F,high,SY,2.51,9.8,11,17.25,61.5
M,high,SY,2.46,10.21,10.5,18.45,63.5
F,high,ASY,2.59,9.1,10.4,18.29,59
M,high,SY,2.77,9.93,9.9,17.75,64.5
M,high,SY,-99.99,-99.99,9.75,18.23,64.5
F,high,SY,2.42,9.47,11.3,17.27,61
M,high,ASY,2.47,9.67,10,18.35,63.5
M,mid,ASY,3.06,10,10.1,19.43,65
F,mid,ASY,2.99,10.1,10.1,18.56,59.8
F,mid,SY,2.89,9.22,9.2,17.77,60.6
M,mid,SY,2.84,10.11,10,19.1,63.12
M,mid,SY,2.99,9.56,8.4,19.2,61.4
M,mid,SY,2.78,8.98,10.1,18.99,63.18
M,mid,SY,2.93,9.64,9.7,18.65,64.22
F,mid,SY,2.78,9.15,9.9,18.59,60.62
F,mid,SY,-99.99,-99.99,9.1,18.34,63
M,mid,SY,3,9.49,9.8,18.93,62.4
M,mid,SY,-99.99,-99.99,9.92,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.25,19.13,64.5
M,mid,SY,2.75,8.57,8.8,18.54,63.77
M,mid,SY,2.69,9,9.9,18.57,64.03
M,mid,SY,2.84,9.61,8.5,18.49,63.09
M,mid,ASY,2.9,9.7,9.6,18.62,65.38
M,mid,SY,2.69,10.1,10.1,19.25,62.3
M,mid,SY,3.01,10.4,9.6,19.61,64.75
M,mid,SY,2.86,9.52,9.2,19.07,63.7
M,mid,ASY,2.9,9.72,9.4,18.02,65.78
M,mid,SY,2.75,10.5,9.7,19.41,63.32
M,mid,ASY,2.78,10.12,8.8,18.53,61.89
F,mid,SY,2.85,9.31,10.9,18.32,58.88
F,mid,SY,2.82,9.85,11.6,18.21,60.59
F,mid,SY,2.81,9.9,11.1,17.57,59.92
M,mid,SY,2.78,9.49,9.5,19.04,64.79
M,mid,SY,2.83,9.97,9.2,18.58,62.68
F,mid,SY,2.94,9.5,10,18.66,59.1
F,mid,ASY,2.84,9.61,10.1,17.82,58.29
M,mid,SY,2.73,8.78,9.2,18.15,62.13
M,mid,SY,2.98,9.58,10.4,18.77,63.41
M,mid,SY,2.94,9.98,10.5,18.64,64.75
M,mid,SY,2.59,9.36,9.4,19.74,61.91
M,mid,ASY,2.69,9.74,8.7,18.2,63.87
F,mid,ASY,2.86,10.12,11.1,18.65,60.29
F,low,SY,2.87,9.63,-99.99,18.76,58.69
M,mid,ASY,2.93,9.52,9.7,19.4,64.31
M,mid,SY,2.94,9.47,9.5,19.1,63
M,mid,SY,2.93,9.67,8.53,18.65,63.06
M,mid,SY,2.88,10.02,10.49,18.08,64.18
M,mid,ASY,2.83,10.6,9.65,19.84,63.68
M,mid,SY,3,9.64,10.02,20.63,64.63
M,mid,SY,2.93,9.87,8,18.74,62.94
M,mid,SY,2.99,9.84,9.44,17.96,60.98
M,mid,SY,3.02,9.81,-99.99,17.84,62.24
M,mid,SY,3.05,9.91,9.73,19.6,64.41
M,mid,SY,-99.99,-99.99,10.27,19.8,65
M,mid,SY,2.96,10.07,8.47,18.4,63.82
M,mid,SY,-99.99,-99.99,9.67,-99.99,63
M,mid,SY,2.93,10.3,10.16,18.3,64.25
M,mid,SY,2.7,9.27,9.08,18.64,62.94
M,mid,SY,2.77,9.1,9.08,18.29,62.18
M,mid,SY,-99.99,-99.99,8.8,18.52,64.5
M,mid,SY,2.72,9.65,9.23,18.83,62.69
M,mid,SY,2.92,9.7,10.24,19.42,63.47
M,mid,SY,-99.99,-99.99,10.1,19.46,65.5
M,mid,SY,-99.99,-99.99,9.99,19.65,65.75
F,mid,ASY,2.79,10.07,10.52,19.1,60.14
M,mid,ASY,2.95,9.74,9.44,18.88,63.75
M,mid,ASY,-99.99,-99.99,9.5,19.07,65.5
M,mid,ASY,-99.99,-99.99,9.98,-99.99,63
M,mid,SY,-99.99,-99.99,9.18,18.09,62.13
F,mid,SY,-99.99,-99.99,10.42,18.48,60.34
F,mid,SY,-99.99,-99.99,11.31,18.57,58.64
F,mid,SY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,SY,-99.99,-99.99,11.11,18.29,62.15
F,mid,SY,-99.99,-99.99,10,18.54,61.61
F,mid,SY,-99.99,-99.99,10.3,18.11,60.56
F,mid,SY,-99.99,-99.99,10.2,19.25,60.64
F,mid,SY,-99.99,-99.99,10.37,19.6,59.18
F,mid,AHY,-99.99,-99.99,9.61,18.43,61.15
F,mid,ASY,-99.99,-99.99,11.49,19.31,60.81
F,mid,ASY,3.01,10.12,10.44,19.07,62
F,mid,SY,-99.99,-99.99,10.29,18.54,57.87
F,mid,SY,-99.99,-99.99,9.4,19.14,58
F,mid,AHY,-99.99,-99.99,10.89,19.69,61.31
F,mid,AHY,-99.99,-99.99,-99.99,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,10.14,18.45,59.24
F,mid,ASY,-99.99,-99.99,9.69,18.51,61.9
F,mid,SY,-99.99,-99.99,10.05,18.08,57.16
F,mid,SY,-99.99,-99.99,11.06,18.54,60.15
M,mid,ASY,-99.99,-99.99,9.9,19.68,64.37
F,high,SY,2.73,9.91,10.5,17.44,59
F,high,SY,2.94,9.25,11,18.42,60.5
F,high,ASY,2.62,9.8,10.8,18.38,61
F,high,ASY,-99.99,-99.99,10.45,18.61,59.5
F,high,ASY,-99.99,-99.99,10.3,18.92,62
F,high,ASY,-99.99,-99.99,11.24,18.32,61
M,high,SY,2.71,9.37,9,17.64,62.5
M,high,SY,-99.99,-99.99,9.1,18.02,63
M,high,SY,-99.99,-99.99,9.28,-99.99,65.5
F,high,ASY,2.5,9.04,11.2,17.7,59.5
F,high,SY,2.93,10.17,10.1,17.42,61
M,high,SY,2.92,10.23,9.4,18.75,65
M,high,SY,2.85,10.29,9.1,17.75,64.5
M,high,SY,2.96,9.81,10.3,18.39,64
M,high,SY,-99.99,-99.99,10.06,18.35,65.5
M,high,SY,-99.99,-99.99,9.67,18.81,66
M,high,SY,3,10.18,9.81,18.89,65.5
M,high,ASY,2.48,10.2,11,18.75,69.5
M,high,ASY,-99.99,-99.99,11.1,19.29,66
F,high,ASY,2.75,9.39,11.6,17.78,60
F,mid,SY,3.01,10.26,11.1,19.17,59.92
M,mid,SY,2.92,9.98,9.5,18.54,61.42
M,mid,SY,-99.99,-99.99,9.83,18.58,63.9
F,mid,ASY,2.82,10.27,9.6,18.6,60.53
F,mid,SY,2.79,10.02,10.4,19.04,58.89
F,low,SY,2.91,9.86,10.3,18.62,58.45
F,low,SY,-99.99,-99.99,10.21,18.4,60
F,low,SY,2.91,9.86,10.3,18.62,58.45
F,low,SY,-99.99,-99.99,10.21,18.4,60
F,mid,ASY,2.85,10.16,10.5,18.88,58.48
F,mid,SY,2.92,10.47,11.6,18.75,61.18
M,mid,SY,2.78,10.56,9.4,17.57,62.73
F,mid,ASY,2.97,10.26,10.4,19.97,58.43
F,mid,AHY,2.82,9.75,10.4,18.5,60.83
F,mid,SY,2.96,9.79,10.8,16.95,59.24
F,mid,SY,2.97,9.82,11.8,18.96,60.24
F,mid,SY,2.95,9.4,12.2,18.85,61.32
F,mid,SY,2.82,10.22,11.1,18.71,56.88
F,mid,SY,2.83,9.98,11.8,18.68,62.1
F,mid,SY,-99.99,-99.99,10.8,19.04,61.53
M,mid,ASY,3.11,9.93,10.1,18.36,65.43
F,mid,ASY,3.08,9.45,11.9,17.64,60.21
F,mid,SY,2.83,9.52,11,18.98,58.84
F,mid,ASY,2.85,9.6,-99.99,-99.99,60.61
F,mid,SY,2.73,9.45,9.7,17.13,59.16
M,low,ASY,3.01,10.66,-99.99,19.26,64.61
M,low,SY,3.1,9.69,10,18.72,63.87
M,low,SY,-99.99,-99.99,9.48,19,64
M,low,SY,-99.99,-99.99,9.9,18.8,64.5
M,low,SY,3.02,9.73,9.57,19,64.75
F,low,ASY,2.83,9.18,11.8,18.43,61.62
M,high,SY,2.75,10.05,9.57,19.77,65
M,high,SY,2.8,10.9,9.58,17.15,62
M,high,SY,2.88,10.29,10.22,17.67,64.5
M,high,ASY,2.89,8.88,9.62,17.78,64.5
F,high,SY,-99.99,-99.99,10.56,19.08,61.25
F,high,SY,-99.99,-99.99,10,18.57,60.5
F,high,SY,3.14,9.27,9.93,18.45,51.5
F,high,ASY,-99.99,-99.99,10.79,18.46,60
F,high,ASY,-99.99,-99.99,11.8,19.3,62.5
F,high,ASY,-99.99,-99.99,10.99,17.64,61
F,high,SY,-99.99,-99.99,9.51,18.79,61
M,low,SY,2.91,9,-99.99,18.76,62
M,low,SY,3.5,9.87,9.76,19.23,63
M,low,SY,2.9,8.9,-99.99,18.7,62
F,low,AHY,3.23,8.38,9.87,19.94,62
F,low,AHY,3.05,9.2,10.46,18.97,62
F,low,AHY,3.16,9.1,10.04,18.9,60
F,low,SY,3.49,8.98,10.61,-99.99,61
F,low,ASY,-99.99,-99.99,9.99,17.6,61
F,low,SY,-99.99,-99.99,10.21,18.9,59
M,low,ASY,-99.99,-99.99,9.67,18.4,65
F,low,SY,-99.99,-99.99,9.91,17.5,60
M,low,SY,-99.99,-99.99,9.3,18.9,64
M,low,ASY,-99.99,-99.99,9.87,18.7,64
F,low,ASY,-99.99,-99.99,9.91,18.5,60
F,low,ASY,-99.99,-99.99,9.98,18.7,59
M,low,ASY,-99.99,-99.99,9.74,19.4,66
M,low,ASY,-99.99,-99.99,-99.99,19.2,66
F,low,ASY,-99.99,-99.99,9.86,18.6,60
F,low,SY,-99.99,-99.99,11.17,19.6,62
M,low,ASY,-99.99,-99.99,9.84,19.4,63
M,low,SY,-99.99,-99.99,9.18,18.9,61
F,mid,SY,-99.99,-99.99,9.94,18.3,58
M,high,SY,-99.99,-99.99,9.68,19.49,64
M,high,SY,-99.99,-99.99,9.11,18.45,53.5
F,high,ASY,-99.99,-99.99,9.34,18.13,61
F,high,SY,-99.99,-99.99,10.49,18.93,62
F,high,SY,2.66,10.34,10.16,18.96,61.5
F,high,AHY,-99.99,-99.99,10.73,18.61,57.5
M,mid,SY,-99.99,-99.99,-99.99,-99.99,65
M,mid,SY,-99.99,-99.99,9.9,18.79,63
M,mid,SY,2.88,10.04,9.44,18.59,65.5
M,mid,SY,-99.99,-99.99,9.6,19.26,63
F,mid,ASY,-99.99,-99.99,10.3,17.82,61
M,mid,SY,-99.99,-99.99,9.9,18.71,64
M,mid,SY,-99.99,-99.99,9.1,19.34,64.5
M,mid,SY,2.95,9.72,9.25,19.12,65
M,mid,SY,-99.99,-99.99,9.5,19.35,64.5
F,mid,ASY,-99.99,-99.99,11,18.11,62.5
F,mid,SY,-99.99,-99.99,10.6,18.09,60
F,mid,SY,-99.99,-99.99,9.9,17.45,60
M,mid,ASY,-99.99,-99.99,9.3,19.06,65
F,mid,AHY,-99.99,-99.99,10.1,18.95,60.5
M,mid,SY,-99.99,-99.99,10.1,19.14,63
F,mid,AHY,-99.99,-99.99,9.9,17.6,60
F,mid,SY,-99.99,-99.99,9.85,18.44,59.18
M,mid,SY,-99.99,-99.99,9.57,18.11,63.2
F,mid,SY,-99.99,-99.99,10.84,-99.99,60.5
F,mid,SY,-99.99,-99.99,11.86,19.42,63.29
M,mid,ASY,-99.99,-99.99,8.66,18.23,64.37
M,mid,SY,-99.99,-99.99,9.87,19.8,65
M,mid,SY,-99.99,-99.99,9.38,19.1,64
M,mid,SY,2.87,9.37,9.5,19.63,67
M,high,SY,-99.99,-99.99,9.5,18.51,64
F,mid,SY,-99.99,-99.99,10.65,19.1,61
F,mid,SY,-99.99,-99.99,-99.99,18.5,60
F,mid,SY,2.95,9.89,11.07,17.84,62.5
F,mid,ASY,-99.99,-99.99,9.92,18.1,60
M,low,SY,-99.99,-99.99,9.42,18.83,61
F,low,SY,-99.99,-99.99,9.03,17.59,61
M,low,SY,-99.99,-99.99,9.16,18.95,63
F,low,SY,-99.99,-99.99,-99.99,17.57,61
F,low,SY,-99.99,-99.99,10.9,18.11,61
M,low,SY,-99.99,-99.99,10.1,18.18,61.5
F,low,SY,-99.99,-99.99,10.7,18.32,59
F,low,ASY,-99.99,-99.99,11.3,18.22,63
M,low,ASY,-99.99,-99.99,9.7,18.41,65
F,mid,SY,-99.99,-99.99,10.4,19.07,59
F,mid,ASY,-99.99,-99.99,9.9,18.69,59
F,high,SY,2.93,9.98,10.65,19.73,61
F,high,SY,2.94,9.43,10.32,19.01,59.5
M,low,SY,2.82,10.03,10.4,18.41,63
M,high,ASY,2.73,9.79,9.88,-99.99,63
M,mid,SY,2.97,10.04,9.34,18.29,63
F,mid,SY,-99.99,-99.99,8.74,18.5,60
M,mid,SY,2.79,8.77,9.96,18.65,65
M,low,ASY,2.63,9.44,9.42,18.62,63.25
F,low,ASY,-99.99,-99.99,9.75,18.06,60
F,mid,SY,-99.99,-99.99,10.12,19.5,58
F,mid,SY,3.02,9.7,10.66,19.64,59.5
M,low,SY,-99.99,-99.99,8.86,19.2,62
F,mid,SY,-99.99,-99.99,9.6,18.95,60.5
F,mid,SY,-99.99,-99.99,11.6,18.89,63.5
