sex,elevation,age_banded,bill_depth,bill_culmen,mass,tarsus1,wing_r
F,mid,SY,2.8,9.5,11.5,-99.99,58
M,mid,SY,3,9.6,10,-99.99,63
M,mid,SY,2.9,9.9,9.4,-99.99,64.5
M,mid,SY,-99.99,-99.99,9.7,-99.99,66
M,mid,SY,-99.99,-99.99,-99.99,17.74,64.2
M,mid,SY,3.1,9.4,9.7,-99.99,63.5
M,mid,SY,-99.99,-99.99,10.2,19.55,64.6
M,mid,SY,2.99,9.64,10.3,19.29,65.53
M,mid,ASY,3.1,9.2,9.7,-99.99,66
F,mid,SY,3.9,8.8,9.9,-99.99,60
M,mid,SY,3,9.7,9,-99.99,64.5
F,mid,SY,2.9,9.3,9.6,-99.99,61.5
F,mid,SY,2.7,9.7,9.6,-99.99,59.5
M,mid,ASY,3,9.7,10.2,-99.99,65.5
F,mid,ASY,3,9.3,10.6,-99.99,62
F,mid,SY,3.3,9.9,10.4,-99.99,60
M,low,SY,-99.99,-99.99,9.3,-99.99,-99.99
M,low,SY,2.82,9.86,10.1,19.72,65.34
M,low,SY,-99.99,-99.99,8,-99.99,-99.99
F,low,AHY,-99.99,-99.99,10,-99.99,-99.99
M,low,SY,-99.99,-99.99,8.7,-99.99,-99.99
M,low,SY,3.1,9.5,10,15.9,65.7
M,low,SY,-99.99,-99.99,10.5,-99.99,-99.99
M,low,SY,-99.99,-99.99,9.5,-99.99,-99.99
F,low,SY,-99.99,-99.99,11,-99.99,-99.99
M,low,SY,-99.99,-99.99,11.2,-99.99,-99.99
M,low,SY,-99.99,-99.99,10.2,-99.99,-99.99
M,low,SY,-99.99,-99.99,10.1,-99.99,-99.99
M,low,SY,2.9,9.7,10.3,19,64.4
M,high,ASY,-99.99,-99.99,9.9,-99.99,-99.99
M,high,SY,-99.99,-99.99,9.2,-99.99,-99.99
M,high,SY,-99.99,-99.99,8.8,-99.99,-99.99
M,high,SY,3.2,9.2,-99.99,-99.99,65.2
M,high,SY,-99.99,-99.99,10.5,-99.99,-99.99
M,high,ASY,-99.99,-99.99,14.8,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.4,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.9,-99.99,-99.99
M,low,SY,-99.99,-99.99,9.9,-99.99,-99.99
M,low,SY,2.8,9.8,10,18.3,65.3
F,low,SY,-99.99,-99.99,8.9,-99.99,-99.99
M,mid,SY,2.8,10.23,14.5,18.46,62.52
M,mid,SY,3.16,9.81,9.2,20.3,62.9
M,mid,SY,-99.99,-99.99,9.5,-99.99,-99.99
M,mid,SY,3.02,9.99,9.5,19.1,62.9
M,mid,SY,2.87,9.55,9.4,19.07,60.8
M,mid,SY,3.04,9.61,10,19.21,62.14
M,mid,SY,2.93,9.88,9.5,19.2,61.72
M,mid,SY,3.13,9.65,9.8,19.21,64.51
M,mid,SY,3.04,9.66,9.5,18.65,63.8
F,mid,SY,3,9.95,10.8,18.75,60.64
F,mid,SY,-99.99,-99.99,10.6,18.92,-99.99
M,mid,SY,2.76,9.41,10.1,19.53,62.03
M,mid,SY,2.8,9.79,9.6,18.75,61
M,mid,SY,2.97,10.35,10.6,19.34,64.61
M,mid,SY,2.97,9.91,10.3,20.2,65.3
M,mid,SY,-99.99,-99.99,10,-99.99,64.19
F,mid,SY,3.02,9.98,10.6,19.4,58.16
M,mid,SY,3.17,10.16,9.9,19.6,64.03
M,mid,SY,3.14,9.81,-99.99,19.94,65.03
M,mid,SY,3.3,9.1,9.5,18.6,64
M,mid,SY,-99.99,-99.99,-99.99,-99.99,65.86
M,mid,SY,-99.99,-99.99,10,20.24,65.1
F,low,SY,-99.99,-99.99,8.2,17.72,-99.99
M,mid,SY,3.05,9.94,9.7,20.02,60.45
M,mid,SY,3.12,10.19,9.9,19.85,62.32
M,mid,SY,-99.99,-99.99,10.6,19.84,61.22
M,mid,SY,3.02,9.92,8.9,19.07,64
F,mid,SY,2.8,9.51,11,18.32,60.5
F,mid,SY,-99.99,-99.99,10.9,-99.99,62.6
F,mid,ASY,2.88,9.72,10.3,18.32,62
M,mid,ASY,2.95,9.42,9,19.11,64.22
M,mid,SY,3.04,9.94,9.2,19.31,62.88
M,mid,SY,3.06,9.65,9.4,19.1,63.98
M,mid,ASY,2.77,8.94,9.4,18.75,64.79
M,mid,ASY,-99.99,-99.99,9.5,18.24,65.08
M,mid,SY,2.95,9.76,10,18.48,62.35
M,low,SY,-99.99,-99.99,10.7,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.8,-99.99,-99.99
F,low,SY,2.74,10.45,10,18.72,59.93
F,high,ASY,2.9,9.5,9.8,-99.99,61.52
M,high,SY,3.2,8.8,9.1,-99.99,62.8
F,high,SY,3.2,9.4,9.6,-99.99,62
F,high,SY,3.5,9.5,9.5,-99.99,-99.99
M,high,SY,3.3,9.2,-99.99,-99.99,63.1
F,high,AHY,3.5,9.1,9.3,-99.99,61.2
F,high,SY,2.8,9.4,10.2,-99.99,60.1
M,high,ASY,3.3,9,9.8,18.2,65.3
F,high,SY,3.1,8.4,9.5,17.1,-99.99
F,high,SY,3,8.8,9.7,-99.99,60.9
M,high,SY,3.3,9.3,9.8,-99.99,64.2
F,high,SY,3,8.35,9.9,-99.99,60.2
M,high,SY,3.1,9.7,10.6,-99.99,64.7
M,high,SY,3,9.8,-99.99,-99.99,66
F,low,AHY,-99.99,-99.99,10.7,19.4,61.2
F,low,SY,2.9,9.4,10.4,20.3,58.5
M,high,SY,2.95,9.7,10.2,-99.99,64.2
M,high,SY,3.2,10.2,-99.99,-99.99,65
F,high,SY,3.1,10.55,10.2,-99.99,59.6
F,high,SY,2.8,9.7,10.9,-99.99,61.9
M,high,SY,2.6,9.7,9.8,-99.99,63.3
F,low,ASY,2.6,9.9,9.4,18.8,60.8
F,low,SY,2.8,8.9,10.6,19.1,60.6
M,low,ASY,2.8,9.7,10,19,64.3
M,low,AHY,-99.99,-99.99,8.5,21.5,-99.99
M,mid,SY,2.75,9.74,9.6,18.4,63.11
M,mid,SY,2.8,9.39,9,19.82,61.2
M,mid,SY,3.01,9.74,9.3,19.18,63.58
M,mid,SY,-99.99,-99.99,-99.99,-99.99,63.67
F,mid,SY,2.74,9.53,11,19.15,60.87
F,mid,ASY,2.89,10.26,10.6,19.68,59
F,mid,SY,3.1,10.2,10.3,-99.99,-99.99
F,mid,SY,2.88,10.11,11.7,18.86,57.7
F,mid,SY,-99.99,-99.99,10.25,-99.99,-99.99
F,mid,SY,2.79,9.84,10.95,18.85,57.64
F,mid,SY,-99.99,-99.99,10.5,19.14,58.94
F,mid,SY,-99.99,-99.99,10.8,-99.99,-99.99
F,low,SY,-99.99,-99.99,8.2,16.2,-99.99
M,low,SY,-99.99,-99.99,9.6,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.6,-99.99,-99.99
F,low,SY,-99.99,-99.99,8.9,-99.99,-99.99
M,high,SY,-99.99,-99.99,9.7,-99.99,-99.99
F,high,ASY,-99.99,-99.99,10.4,-99.99,-99.99
F,high,SY,-99.99,-99.99,9.5,-99.99,-99.99
F,high,SY,2.75,9.5,9.9,-99.99,61.1
F,high,SY,-99.99,-99.99,9.1,-99.99,-99.99
M,low,SY,-99.99,-99.99,9,-99.99,-99.99
M,low,SY,2.9,9.5,9.7,17.5,56.4
F,low,SY,-99.99,-99.99,9.9,-99.99,-99.99
M,low,ASY,-99.99,-99.99,10.1,-99.99,-99.99
M,low,SY,-99.99,-99.99,9.9,-99.99,-99.99
M,mid,SY,-99.99,-99.99,9.8,-99.99,-99.99
M,mid,SY,3.06,10.24,9.6,20.69,64.29
M,low,SY,-99.99,-99.99,10,-99.99,-99.99
M,low,SY,-99.99,-99.99,10.2,-99.99,-99.99
M,low,SY,-99.99,-99.99,10.3,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.5,-99.99,-99.99
F,low,SY,-99.99,-99.99,9.5,-99.99,-99.99
F,low,SY,2.7,9.9,10.4,18.7,61.1
F,high,AHY,-99.99,-99.99,9.7,-99.99,-99.99
F,mid,ASY,3.09,9.69,10.7,19.16,58.69
F,mid,ASY,-99.99,-99.99,10.1,-99.99,-99.99
F,mid,ASY,-99.99,-99.99,10.2,18.75,61.28
F,mid,SY,-99.99,-99.99,-99.99,19.69,59.33
F,mid,ASY,3,10.39,10.4,18.48,58.43
F,mid,SY,2.89,10.19,9.9,19.34,58.53
F,mid,SY,2.82,10.45,10.4,19.56,59.32
F,mid,ASY,3.06,10.34,10.7,19.17,60.83
F,mid,ASY,-99.99,-99.99,10.3,18.75,61
M,mid,SY,2.96,9.7,9.5,18.79,63
M,mid,SY,-99.99,-99.99,9.8,19.2,63.04
M,mid,SY,-99.99,-99.99,9.8,19.15,64.15
M,mid,SY,2.53,9.23,8.6,17.77,60.5
F,mid,SY,3.1,9.8,-99.99,18.52,60.75
F,mid,ASY,3.06,10.16,10.7,19.01,61.44
M,mid,SY,2.97,10.28,9.9,18.82,64.56
M,mid,SY,2.76,9.24,9,18.45,62.82
M,mid,SY,2.86,9.94,10.2,19.44,63.75
M,mid,SY,2.86,10.05,9.3,19.41,61.63
M,mid,SY,2.91,10.23,9.5,20.27,64.26
M,mid,SY,3.12,10.35,9.55,-99.99,64.57
M,mid,SY,3.01,10.51,9.2,20.1,62.45
M,mid,SY,2.95,9.16,9.1,19.66,62.75
F,low,ASY,2.6,9.5,10.1,19,60.4
M,low,ASY,2.8,9.9,9.7,18.9,66.7
F,low,AHY,2.8,9,10.6,17.9,58.7
M,high,ASY,2.7,8.7,9.3,-99.99,65.7
F,low,SY,2.8,9.6,11.6,19.5,61.2
M,high,ASY,3,10.3,9.5,-99.99,64.4
M,high,SY,3.15,10.9,9.9,-99.99,65.3
M,low,ASY,2.6,9.5,10.1,19.4,63.9
F,high,ASY,3,9.6,9.8,-99.99,61.9
F,high,ASY,2.65,10,9.1,-99.99,60.03
M,high,SY,2.9,11.05,10.7,-99.99,63
M,mid,SY,3,10.71,10.6,19.5,63.27
M,mid,SY,-99.99,-99.99,10.3,19.11,64.5
M,mid,SY,-99.99,-99.99,10.6,19.39,65.18
